#	src	l           b       nhi(e20) nhi_er thin      thin_er    cnm    cnm_er	  wnm	  wnm_er
==========================================================================================================
55    P1117+14	240.4380  065.7884  001.57  000.02  001.5417  000.2614  000.00  000.0000  001.57  000.0177
56    3C264.0	236.9959  073.6422  001.73  000.03  001.7598  000.3485  000.00  000.0000  001.73  000.0252
57    3C208.1	213.6015  033.5830  002.76  000.05  002.7851  000.1598  000.00  000.0000  002.76  000.0522
58    3C208.0	213.6628  033.1608  002.99  000.04  003.0476  000.1619  000.00  000.0000  002.99  000.0448
59    4C32.44	067.2401  081.0438  001.05  000.03  001.1280  000.5210  000.14  000.0170  000.91  000.0273
60    3C263.1	228.2701  074.3753  001.68  000.05  001.6732  000.3024  000.00  000.0000  001.68  000.0462
61    3C225b	220.0116  044.0083  003.28  000.06  003.2582  000.0506  000.86  000.0459  002.42  000.0434
62    3C410	069.2090  -03.7684  048.22  003.47  039.0202  001.3028  015.44  003.4045  032.78  000.6735
63    P0347+05	182.2737  -35.7311  013.45  000.76  011.3822  000.6992  007.27  000.7487  006.18  000.1424
64    3C272.1	280.6321  074.6873  002.39  000.03  002.4260  000.3032  000.36  000.0218  002.03  000.0248
65    3C225a	219.8664  044.0247  003.40  000.14  003.3469  000.0392  001.51  000.1353  001.89  000.0228
66    4C07.32	322.2286  068.8350  002.11  000.03  002.0761  000.2568  000.32  000.0219  001.79  000.0244
67    3C245	233.1247  056.3009  002.03  000.03  002.1298  000.1329  000.48  000.0262  001.55  000.0225
68    3C93.1	160.0361  -15.9147  012.32  001.04  009.6239  000.8153  003.50  000.9868  008.82  000.3370
69    3C348	022.9710  029.1769  005.69  000.16  005.2943  000.0605  001.55  000.1520  004.14  000.0467
70    4C13.67	043.4971  009.1540  016.72  000.87  013.7282  000.1657  003.96  000.7404  012.76  000.4632
71    3C286	056.5295  080.6740  002.04  000.09  002.1072  002.3370  000.00  000.0000  002.04  000.0917
72    4C13.65	039.3151  017.7180  009.16  000.14  008.6619  000.1212  001.45  000.1214  007.71  000.0613
73    3C190.0	207.6242  021.8412  002.82  000.04  002.9410  000.8069  000.00  000.0000  002.82  000.0411
74    P0320+05	176.9818  -40.8433  011.20  000.48  009.9975  000.7438  005.05  000.3183  006.15  000.3610
75    3C274.1	269.8744  083.1637  002.36  000.04  002.2860  000.1201  000.30  000.0193  002.06  000.0293
76    3C207	212.9680  030.1390  005.25  000.15  004.9461  000.0969  000.91  000.1267  004.34  000.0870
77    T0629+10	201.5315  000.5079  059.25  002.86  045.1748  000.1705  037.02  002.5766  022.23  001.2404
78    3C223	188.4047    48.659  1.0421  1.2825  1.0421    1.2825    000.00  000.00    1.0421  1.2825  
